"","area","persona","Sexo","Edad","RelacionParentezco","Seguro_social","Estado_civil","Asiste_clases","Nivelinstruccion","Sabe_leer_escribir","Obtuvo_titulo","Autoidentificacion","Trabja","Actividad_hogar","Razon_notrabajo","Razon_covid","Horas_trabajo_semanal","Condicion_inactividad","Categoria_ocupacion","Tipo_trabajo","Años_trabajo","Numero_trabajo","Horas_trabajo_principal","Forma_Seguridad_social","Ingreso_transacciones_capital","Ingresos_jubilacion","Donaciones","Remesas","Recibe_Bono_DDHH","Monto_Bono_DDHH","Recibe_Bono_Discapacidad","Monto_Bono_Discapacidad","IngresoLaboral","Principal_motivo_desempleo","Condicion_actividad","Empleo","Desempleo","Sectores_empleados","Grupo_ocupacion","Rama_actividad","Nivel_instruccion","Categorias_edad","Ingreso_laboral","Ingresos_totales"
"30"," Urbana ",1," Mujer ",77," Jefe "," IESS, seguro general "," Viudo(a) "," No "," Ninguno "," No ",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,100,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Ninguno","65 y más",NA,100
"31"," Urbana ",1," Hombre ",23," Jefe "," Ninguno "," Unión libre "," No "," Educación Básica "," Si ",""," Mestizo "," Si ","","","",38,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",68," Uno ",36," No aporta ",NA,NA,200,NA," No ",NA," No ",NA,"360","","Otro empleo no pleno","Población con empleo","","Sector Formal","Oficiales operarios y artesanos","C. Industrias manufactureras","Educación Básica","18-24",360,560
"32"," Urbana ",1," Hombre ",57," Jefe "," Ninguno "," Unión libre "," No "," Primaria "," Si ",""," Mestizo "," Si ","","","",21,""," Cuenta Propia ","",46," Uno ",36," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"500","","Subempleo por insuficiencia de tiempo de trabajo","Población con empleo","","Sector Formal","Oficiales operarios y artesanos","C. Industrias manufactureras","Educación Básica","40-64",500,500
"33"," Urbana ",1," Hombre ",32," Jefe "," Ninguno "," Unión libre "," No "," Secundaria ","",""," Mestizo "," Si ","","","",42,""," Empleado privado "," Con contrato temporal, ocasional o eventual",24," Uno ",40," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"480","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Oficiales operarios y artesanos","C. Industrias manufactureras","Educación Media/Bachillerato","25-39",480,480
"34"," Urbana ",1," Mujer ",55," Jefe "," Ninguno "," Divorciado(a) "," No "," Secundaria ","",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA,""," Cuenta Propia ","",NA,"",NA," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,""," Quiebre o cierre de negocio","Desempleo oculto","","Población con desempleo","","","","Educación Básica","40-64",NA,NA
"35"," Urbana ",1," Hombre ",60," Jefe "," IESS, seguro general voluntario "," Casado(a) "," No "," Primaria "," Si ",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Incapacitado ","","",NA,"",NA," IESS Voluntario ",NA,NA,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Básica","40-64",NA,NA
"36"," Urbana ",1," Hombre ",71," Jefe "," Ninguno "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",5," Uno ",36," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"480","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Operadores de instalac. máquinas y montad.","H. Transporte y almacenamiento","Educación Media/Bachillerato","65 y más",480,480
"37"," Urbana ",1," Hombre ",30," Jefe "," IESS, seguro general "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",46,""," Empleado privado "," Con contrato temporal, ocasional o eventual",35," Uno ",44," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"470","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Operadores de instalac. máquinas y montad.","C. Industrias manufactureras","Educación Media/Bachillerato","25-39",470,470
"38"," Urbana ",1," Hombre ",48," Jefe "," IESS, seguro general "," Viudo(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Empleado de gobierno ","Con nombramiento ",5," Uno ",36," IESS General ",NA,200,NA,NA," No ",NA," No ",NA,"680","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Operadores de instalac. máquinas y montad.","O .Administración pública, defensa y seguridad social","Educación Media/Bachillerato","40-64",680,880
"39"," Urbana ",1," Hombre ",60," Jefe "," IESS, seguro general "," Casado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," Si ","","","",46,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",14," Uno ",44," IESS General ",500,NA,NA,NA," No ",NA," No ",NA,"788","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","O .Administración pública, defensa y seguridad social","Superior","40-64",788,1288
"40"," Urbana ",1," Hombre ",49," Jefe "," Ninguno "," Divorciado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",77," Uno ",36," No aporta ",250,NA,NA,NA," No ",NA," No ",NA,"1770","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Operadores de instalac. máquinas y montad.","H. Transporte y almacenamiento","Educación Media/Bachillerato","40-64",1770,2020
"41"," Urbana ",1," Hombre ",20," Jefe "," Ninguno "," Unión libre "," No "," Educación  Media ","",""," Mestizo "," Si ","","","",38,""," Empleado privado "," Con contrato temporal, ocasional o eventual",13," Uno ",36," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"515","","Empleo Adecuado/Pleno","Población con empleo","","Sector Informal","Operadores de instalac. máquinas y montad.","C. Industrias manufactureras","Educación Media/Bachillerato","18-24",515,515
"42"," Urbana ",1," Mujer ",62," Jefe "," IESS, seguro general "," Soltero(a) "," No "," Secundaria ","",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,1200,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Media/Bachillerato","40-64",NA,1200
"43"," Urbana ",1," Hombre ",55," Jefe "," IESS, seguro general voluntario "," Casado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," Si ","","","",49,""," Cuenta Propia ","",14," Uno ",47," IESS Voluntario ",NA,NA,NA,NA," No ",NA," No ",NA,"1700","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","M. Actividades profesionales, científicas y técnicas","Superior","40-64",1700,1700
"44"," Urbana ",1," Hombre ",34," Jefe "," IESS, seguro general voluntario "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",77,""," Cuenta Propia ","",1," Uno ",73," IESS Voluntario ",NA,NA,300,NA," No ",NA," No ",NA,"470","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Trabajad. de los servicios y comerciantes","G. Comercio, reparación vehículos","Educación Media/Bachillerato","25-39",470,770
"45"," Urbana ",1," Hombre ",58," Jefe "," Ninguno "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",25," Uno ",36," No aporta ",500,NA,NA,NA," No ",NA," No ",NA,"300","","Otro empleo no pleno","Población con empleo","","Sector Informal","Oficiales operarios y artesanos","C. Industrias manufactureras","Educación Media/Bachillerato","40-64",300,800
"46"," Urbana ",1," Hombre ",48," Jefe "," Ninguno "," Viudo(a) "," No "," Primaria "," Si ",""," Mestizo "," Si ","","","",46,""," Jornalero o peón "," Por jornal",17," Uno ",44," No aporta ",NA,NA,500,NA," No ",NA," No ",NA,"600","","Empleo Adecuado/Pleno","Población con empleo","","No Clasificados por Sector","Oficiales operarios y artesanos","F. Construcción","Educación Básica","40-64",600,1100
"47"," Urbana ",1," Hombre ",51," Jefe "," Ninguno "," Viudo(a) "," No "," Primaria "," Si ",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Rentista ","","",NA,"",NA," No aporta ",500,NA,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Básica","40-64",NA,500
"48"," Urbana ",1," Hombre ",24," Jefe "," IESS, seguro general "," Unión libre "," Si "," Superior Universitario ",""," No "," Mestizo "," Si ","","","",20,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",46," Uno ",18," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"255","","Subempleo por insuficiencia de tiempo de trabajo","Población con empleo","","Sector Formal","Empleados de oficina","H. Transporte y almacenamiento","Superior","18-24",255,255
"49"," Urbana ",1," Mujer ",23," Jefe "," Ninguno "," Soltero(a) "," No "," Educación Básica "," Si ",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Ama de casa ","","",NA,"",NA," No aporta ",NA,NA,150,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Básica","18-24",NA,150
"50"," Urbana ",1," Hombre ",74," Jefe "," Ninguno "," Casado(a) "," No "," Primaria "," Si ",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Incapacitado ","","",NA,"",NA," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Básica","65 y más",NA,NA
"51"," Urbana ",1," Hombre ",70," Jefe "," IESS, seguro general voluntario "," Divorciado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," IESS Voluntario ",NA,1200,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Superior","65 y más",NA,1200
"52"," Urbana ",1," Hombre ",79," Jefe "," IESS, seguro general "," Divorciado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",2,""," Cuenta Propia ","",3," Uno ",2," No aporta ",NA,124,100,NA," No ",NA," No ",NA,"110","","Otro empleo no pleno","Población con empleo","","Sector Informal","Operadores de instalac. máquinas y montad.","H. Transporte y almacenamiento","Educación Media/Bachillerato","65 y más",110,334
"53"," Urbana ",1," Hombre ",50," Jefe "," IESS, seguro general "," Divorciado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",46,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",3," Uno ",44," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"2750","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Personal direct./admin. pública y empresas","G. Comercio, reparación vehículos","Educación Media/Bachillerato","40-64",2750,2750
"54"," Urbana ",1," Hombre ",59," Jefe "," IESS, seguro general "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",44," Uno ",36," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"0","","Otro empleo no pleno","Población con empleo","","Sector Formal","Oficiales operarios y artesanos","C. Industrias manufactureras","Educación Media/Bachillerato","40-64",0,NA
"55"," Urbana ",1," Mujer ",61," Jefe "," Ninguno "," Divorciado(a) "," No "," Primaria "," Si ",""," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",68," Uno ",36," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"250","","Otro empleo no pleno","Población con empleo","","Sector Formal","Trabajad. de los servicios y comerciantes","G. Comercio, reparación vehículos","Educación Básica","40-64",250,250
"56"," Urbana ",1," Mujer ",81," Jefe "," IESS, seguro general voluntario "," Viudo(a) "," No "," Primaria "," Si ",""," Blanco "," No "," No realizó ninguna actividad ","","",NA," Rentista ","","",NA,"",NA," IESS Voluntario ",200,NA,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Básica","65 y más",NA,200
"57"," Urbana ",1," Mujer ",82," Jefe "," Ninguno "," Viudo(a) "," No "," Ninguno "," No ",""," Indígena "," Si ","","","",6,""," Cuenta Propia ","",69," Uno ",5," No aporta ",NA,NA,NA,80," No ",NA," No ",NA,"12","","Otro empleo no pleno","Población con empleo","","Sector Informal","Trabajad. calificados agropecuarios y pesqueros","A. Agricultura, ganadería caza y silvicultura y pesca","Ninguno","65 y más",12,92
"58"," Urbana ",1," Hombre ",44," Jefe "," IESS, seguro general "," Casado(a) "," No "," Post-grado ",""," Si "," Mestizo "," Si ","","","",60,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",16," Uno ",58," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"1284","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","P. Enseñanza","Superior","40-64",1284,1284
"59"," Urbana ",1," Hombre ",64," Jefe "," Ninguno "," Casado(a) "," No "," Primaria "," Si ",""," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",47," Uno ",36," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"200","","Subempleo por insuficiencia de ingresos","Población con empleo","","Sector Formal","Oficiales operarios y artesanos","C. Industrias manufactureras","Educación Básica","40-64",200,200
"60"," Urbana ",1," Hombre ",32," Jefe "," Ninguno "," Unión libre "," No "," Primaria "," Si ",""," Mestizo "," Si ","","","",27,""," Jornalero o peón "," Por jornal",8," Uno ",36," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"400","","Subempleo por insuficiencia de tiempo de trabajo","Población con empleo","","Sector Informal","Trabajadores no calificados, ocupaciones elementales","F. Construcción","Educación Básica","25-39",400,400
"61"," Urbana ",1," Hombre ",76," Jefe "," IESS, seguro general "," Casado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,1300,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Superior","65 y más",NA,1300
"62"," Urbana ",1," Hombre ",40," Jefe "," IESS, seguro general "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",57," Uno ",36," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"2000","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Técnicos y profesionales de nivel medio","L. Actividades inmobiliarias","Educación Media/Bachillerato","40-64",2000,2000
"63"," Urbana ",1," Mujer ",57," Jefe "," Ninguno "," Soltero(a) "," No "," Primaria "," Si ",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Ama de casa ","","",NA,"",NA," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Básica","40-64",NA,NA
"64"," Urbana ",1," Hombre ",48," Jefe "," IESS, seguro general "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",71,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",5," Uno ",67," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"550","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Operadores de instalac. máquinas y montad.","C. Industrias manufactureras","Educación Media/Bachillerato","40-64",550,550
"65"," Urbana ",1," Hombre ",48," Jefe "," Ninguno "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Patrono ","",22," Uno ",36," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"400","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Oficiales operarios y artesanos","C. Industrias manufactureras","Educación Media/Bachillerato","40-64",400,400
